Mes, Año de Año;Dep;Municipio;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;La Victoria;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;La Victoria;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;La Victoria;Contributivo;62;;62;0;62;0;0;0;0;0
diciembre 2019;Boyacá;La Victoria;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;La Victoria;Subsidiado;941;;0;0;941;0;0;0;0;941
diciembre 2019;Boyacá;Ciénega;Excepción;22;;0;22;22;0;0;0;0;0
diciembre 2019;Boyacá;Ciénega;Poblacion;0;0;0;0;4498,000000000;4498,000000000;0;0;0;0
diciembre 2019;Boyacá;Ciénega;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Ciénega;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Ciénega;Contributivo;222;;222;0;222;0;0;0;0;0
diciembre 2019;Boyacá;Ciénega;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Ciénega;Subsidiado;3421;;0;0;3421;0;0;0;0;3421
diciembre 2019;Boyacá;Tinjacá;Excepción;16;;0;16;16;0;0;0;0;0
diciembre 2019;Boyacá;Tinjacá;Poblacion;0;0;0;0;3045,000000000;3045,000000000;0;0;0;0
diciembre 2019;Boyacá;Tinjacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tinjacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tinjacá;Contributivo;217;;217;0;217;0;0;0;0;0
diciembre 2019;Boyacá;Tinjacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tinjacá;Subsidiado;1962;;0;0;1962;0;0;0;0;1962
diciembre 2019;Boyacá;Briceño;Excepción;17;;0;17;17;0;0;0;0;0
diciembre 2019;Boyacá;Briceño;Poblacion;0;0;0;0;2516;2516;0;0;0;0
diciembre 2019;Boyacá;Briceño;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Briceño;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Briceño;Contributivo;92;;92;0;92;0;0;0;0;0
diciembre 2019;Boyacá;Briceño;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Briceño;Subsidiado;1681;;0;0;1681;0;0;0;0;1681
diciembre 2019;Boyacá;Muzo;Excepción;102;;0;102;102;0;0;0;0;0
diciembre 2019;Boyacá;Muzo;Poblacion;0;0;0;0;8548,000000000;8548,000000000;0;0;0;0
diciembre 2019;Boyacá;Muzo;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Muzo;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Muzo;Contributivo;1586;;1586;0;1586;0;0;0;0;0
diciembre 2019;Boyacá;Muzo;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Muzo;Subsidiado;5997;;0;0;5997;0;0;0;0;5997
diciembre 2019;Boyacá;Turmequé;Excepción;127;;0;127;127;0;0;0;0;0
diciembre 2019;Boyacá;Turmequé;Poblacion;0;0;0;0;5662,000000000;5662,000000000;0;0;0;0
diciembre 2019;Boyacá;Turmequé;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Turmequé;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Turmequé;Contributivo;589;;589;0;589;0;0;0;0;0
diciembre 2019;Boyacá;Turmequé;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Turmequé;Subsidiado;4698;;0;0;4698;0;0;0;0;4698
diciembre 2019;Boyacá;Togüí;Excepción;18;;0;18;18;0;0;0;0;0
diciembre 2019;Boyacá;Togüí;Poblacion;0;0;0;0;4818;4818;0;0;0;0
diciembre 2019;Boyacá;Togüí;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Togüí;Sisben I;0;;0;0;0;0;0;0;0;0
