Mes, Año de Año;Dep;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;3840;;3840;0;3840;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;5286;;0;0;5286;0;0;0;0;5286
diciembre 2019;Boyacá;Excepción;13;;0;13;13;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;2497,000000000;2497,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;164;;164;0;164;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;2225;;0;0;2225;0;0;0;0;2225
diciembre 2019;Boyacá;Excepción;32;;0;32;32;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;4982;4982;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;804;;804;0;804;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;2467;;0;0;2467;0;0;0;0;2467
diciembre 2019;Boyacá;Excepción;7;;0;7;7;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;1887,000000000;1887,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;268;;268;0;268;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1025;;0;0;1025;0;0;0;0;1025
diciembre 2019;Boyacá;Excepción;31;;0;31;31;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;5738,000000000;5738,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;206;;206;0;206;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;3636;;0;0;3636;0;0;0;0;3636
diciembre 2019;Boyacá;Excepción;45;;0;45;45;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;3735;3735;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;190;;190;0;190;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;2103;;0;0;2103;0;0;0;0;2103
diciembre 2019;Boyacá;Excepción;2;;0;2;2;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;4660;4660;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;191;;191;0;191;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;2283;;0;0;2283;0;0;0;0;2283
diciembre 2019;Boyacá;Excepción;24;;0;24;24;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;4231;4231;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;512;;512;0;512;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;3799;;0;0;3799;0;0;0;0;3799
diciembre 2019;Boyacá;Excepción;31;;0;31;31;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;1262;1262;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;109;;109;0;109;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1308;;0;0;1308;0;0;0;0;1308
diciembre 2019;Boyacá;Excepción;17;;0;17;17;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;1673;1673;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;62;;62;0;62;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;941;;0;0;941;0;0;0;0;941
diciembre 2019;Boyacá;Excepción;22;;0;22;22;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;4498,000000000;4498,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;222;;222;0;222;0;0;0;0;0
