Anio;Codigo Dep;Nombre Dep;Codigo Mun;Municipio;Mes;Cantidad Muestras;Promedio Parametros;Promedio;Nivel de Riesgo;Cantidad Muestras Urbanas;Promedio Parametros Urbano;Promedio IRCA Urbano;Nivel Riesgo Urbano;Cantidad Muestras Rural;Promedio Parametros Rural;Promedio IRCA Rural;Nivel Riesgo Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05004;ABRIAQUI;SEPTIEMBRE;3;25;0;Sin Riesgo;3;25;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05004;ABRIAQUI;OCTUBRE;3;14;0;Sin Riesgo;3;14;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05004;ABRIAQUI;NOVIEMBRE;3;14;6,4516;Riesgo Bajo;3;14;6,4516;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05004;ABRIAQUI;DICIEMBRE;3;14;6,4516;Riesgo Bajo;3;14;6,4516;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05004;ABRIAQUI;ENERO;3;12;0;Sin Riesgo;3;12;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05004;ABRIAQUI;FEBRERO;3;15;0;Sin Riesgo;3;15;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05004;ABRIAQUI;MARZO;3;13;0;Sin Riesgo;3;13;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05004;ABRIAQUI;ABRIL;3;15;0;Sin Riesgo;3;15;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05004;ABRIAQUI;MAYO;3;16;6,4516;Riesgo Bajo;3;16;6,4516;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05004;ABRIAQUI;JUNIO;3;14;6,4516;Riesgo Bajo;3;14;6,4516;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
